Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange,msFlipDelay,msUntilRenderStart,msGPUActive,msSinceInput
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,1,5.69309540000000,0.93560000000000,0.55340000000000,0,Composed: Flip,0.93730000000000,0.00000000000000,0.00000000000000,0.00000000000000,-0.01770000000000,0.13980000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,1,5.87738270000000,0.11060000000000,184.28730000000002,0,Composed: Flip,0.13280000000000,0.00000000000000,0.00000000000000,0.00000000000000,-0.01930000000000,0.14420000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,1,5.87590720000000,1.37810000000000,0.00000000000000,0,Composed: Flip,1.37930000000000,0.00000000000000,0.00000000000000,0.00000000000000,-175.12800000000001,25.12580000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,1,5.89359660000000,0.13480000000000,17.68940000000000,0,Composed: Flip,0.90670000000000,0.00000000000000,0.00000000000000,0.00000000000000,-11.37940000000000,10.35580000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,5.89459170000000,0.42650000000000,0.99510000000000,1,Hardware: Independent Flip,0.46650000000000,14.44530000000000,208.22600000000000,0.00000000000000,-0.08840000000000,0.10320000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,5.91320450000000,0.18260000000000,18.61280000000000,1,Hardware: Independent Flip,1.03130000000000,1.03130000000000,5.19880000000000,0.00000000000000,-16.94510000000000,12.48380000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,5.91344740000000,0.98180000000000,0.24290000000000,1,Hardware: Independent Flip,1.01790000000000,6.92770000000000,6.13930000000000,5.90980000000000,0.78840000000000,0.06680000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,5.92695450000000,0.18180000000000,13.50710000000000,1,Hardware: Independent Flip,1.06770000000000,2.54870000000000,9.12810000000000,1.48100000000000,-12.48920000000000,11.98160000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,5.92721300000000,0.13340000000000,0.25850000000000,1,Hardware: Independent Flip,0.87150000000000,7.59890000000000,5.30870000000000,6.72740000000000,0.80920000000000,0.05900000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,5.94027500000000,0.15600000000000,13.06200000000000,1,Hardware: Independent Flip,0.96720000000000,0.96720000000000,6.43030000000000,0.00000000000000,-12.19050000000000,11.65460000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,5.94048660000000,0.08960000000000,0.21160000000000,1,Hardware: Independent Flip,0.81470000000000,7.34540000000000,6.58980000000000,6.53070000000000,0.75560000000000,0.05640000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,5.95414160000000,0.21350000000000,13.65500000000000,1,Hardware: Independent Flip,0.96760000000000,2.51600000000000,8.82560000000000,1.54840000000000,-12.84030000000000,11.74190000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,5.95441700000000,0.08920000000000,0.27540000000000,1,Hardware: Independent Flip,0.75730000000000,7.60380000000000,5.36320000000000,6.84650000000000,0.69220000000000,0.06220000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,5.96830720000000,0.13480000000000,13.89020000000000,1,Hardware: Independent Flip,0.98360000000000,0.98360000000000,7.27000000000000,0.00000000000000,-13.13290000000000,11.84030000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,5.96849820000000,0.08730000000000,0.19100000000000,1,Hardware: Independent Flip,0.84980000000000,7.86280000000000,7.07020000000000,7.01300000000000,0.79260000000000,0.05430000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.00806240000000,0.19800000000000,39.56420000000000,1,Hardware: Independent Flip,1.41160000000000,4.74060000000000,36.44200000000000,3.32900000000000,-38.71440000000000,11.63720000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.00832660000000,0.09010000000000,0.26420000000000,1,Hardware: Independent Flip,1.20610000000000,21.22610000000000,16.74970000000000,20.02000000000000,1.14740000000000,0.05700000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.04810510000000,0.15360000000000,39.77850000000000,1,Hardware: Independent Flip,0.97890000000000,0.97890000000000,19.53130000000000,0.00000000000000,-38.57240000000000,11.24640000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.04831760000000,0.09440000000000,0.21250000000000,1,Hardware: Independent Flip,1.33510000000000,1.33510000000000,0.56870000000000,0.00000000000000,0.76640000000000,0.52210000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.08922460000000,0.15490000000000,40.90700000000000,1,Hardware: Independent Flip,1.26020000000000,6.73830000000000,46.31020000000000,5.47810000000000,-39.57190000000000,11.07050000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.08944090000000,0.08920000000000,0.21630000000000,1,Hardware: Independent Flip,1.10250000000000,21.46520000000000,14.94320000000000,20.36270000000000,1.04390000000000,0.05860000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.13118550000000,0.23960000000000,41.74460000000001,1,Hardware: Independent Flip,1.23240000000000,13.73150000000000,34.01090000000000,12.49910000000000,-40.64210000000000,10.24030000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.13151280000000,0.13390000000000,0.32730000000000,1,Hardware: Independent Flip,0.97360000000000,21.85620000000000,8.45200000000000,20.88260000000000,0.90510000000000,0.06850000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.17570330000000,0.25610000000000,44.19050000000000,1,Hardware: Independent Flip,1.25460000000000,21.46320000000000,43.79750000000000,20.20860000000000,-43.21690000000000,11.10210000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.17603560000000,0.10760000000000,0.33230000000000,1,Hardware: Independent Flip,0.97950000000000,23.16800000000000,2.03710000000000,22.18850000000000,0.92230000000000,0.05720000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.21426910000000,0.14200000000000,38.23350000000000,1,Hardware: Independent Flip,1.22570000000000,11.85120000000000,26.91670000000000,10.62550000000000,-37.25400000000000,10.36880000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.21446740000000,0.08670000000000,0.19830000000000,1,Hardware: Independent Flip,1.76140000000000,11.65290000000000,0.00000000000000,9.89150000000000,1.02740000000000,0.73400000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.25891840000000,0.25420000000000,44.45100000000000,1,Hardware: Independent Flip,1.75710000000000,1.75710000000000,34.55520000000000,0.00000000000000,-42.68960000000000,10.45560000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.25927190000000,0.14750000000000,0.35350000000000,1,Hardware: Independent Flip,1.46200000000000,23.63800000000000,22.23440000000000,22.17600000000000,1.40360000000000,0.05840000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.29697240000000,0.17100000000000,37.70050000000001,1,Hardware: Independent Flip,1.32590000000000,11.53940000000000,25.60190000000000,10.21350000000000,-36.23850000000000,10.08270000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.29723220000000,0.10180000000000,0.25980000000000,1,Hardware: Independent Flip,1.14900000000000,19.86160000000000,8.58200000000000,18.71260000000000,1.06610000000000,0.08290000000000,0.00000000000000
mpc-hc64.exe,73104,0x0000000006963910,DXGI,0,512,0,6.33871470000000,0.16450000000000,41.48250000000000,1,Hardware: Independent Flip,1.19700000000000,1.19700000000000,22.81790000000000,0.00000000000000,-40.33350000000000,10.27180000000000,0.00000000000000
