# frame,qpc_ms,dt_ms,buf_idx,sync_req,flags_req,sync_used,copy11_us,copy12_us,presentCount,refreshCount,syncRefreshCount,hr
72,192039884.500,17.388,3,0,0x00000000,0,196.2,344.4,0,0,0,0x00000000
73,192039900.629,16.129,0,0,0x00000000,0,201.8,341.1,0,0,0,0x00000000
74,192039917.520,16.892,1,0,0x00000000,0,199.7,351.4,0,0,0,0x00000000
75,192039934.365,16.844,2,0,0x00000000,0,202.3,312.4,0,0,0,0x00000000
76,192039951.913,17.548,3,0,0x00000000,0,197.9,319.1,0,0,0,0x00000000
77,192039968.768,16.855,0,0,0x00000000,0,200.7,524.7,0,0,0,0x00000000
78,192039983.457,14.689,1,0,0x00000000,0,204.1,317.5,0,0,0,0x00000000
79,192040001.649,18.192,2,0,0x00000000,0,201.4,383.7,0,0,0,0x00000000
80,192040018.173,16.524,3,0,0x00000000,0,199.6,307.1,0,0,0,0x00000000
81,192040033.609,15.436,0,1,0x00000200,1,198.8,297.4,0,0,0,0x00000000
82,192040052.127,18.518,1,1,0x00000200,1,192.1,863.2,0,0,0,0x00000000
83,192040067.619,15.492,2,1,0x00000200,1,203.0,312.0,0,0,0,0x00000000
84,192040083.888,16.269,3,1,0x00000200,1,197.7,316.1,0,0,0,0x00000000
85,192040101.101,17.213,0,1,0x00000200,1,203.9,513.6,0,0,0,0x00000000
86,192040118.439,17.338,1,1,0x00000200,1,198.2,326.5,0,0,0,0x00000000
87,192040134.366,15.928,2,1,0x00000200,1,200.4,359.4,0,0,0,0x00000000
88,192040150.472,16.106,3,1,0x00000200,1,200.4,307.6,0,0,0,0x00000000
89,192040167.058,16.586,0,1,0x00000200,1,198.7,327.2,0,0,0,0x00000000
90,192040184.038,16.980,1,1,0x00000200,1,220.0,514.9,0,0,0,0x00000000
91,192040201.444,17.405,2,1,0x00000200,1,198.9,314.5,0,0,0,0x00000000
92,192040218.167,16.724,3,1,0x00000200,1,195.3,530.7,0,0,0,0x00000000
93,192040234.475,16.308,0,1,0x00000200,1,201.6,324.1,0,0,0,0x00000000
94,192040250.384,15.909,1,1,0x00000200,1,197.9,324.4,0,0,0,0x00000000
95,192040268.102,17.718,2,1,0x00000200,1,356.8,382.0,0,0,0,0x00000000
96,192040284.396,16.294,3,1,0x00000200,1,199.3,330.3,0,0,0,0x00000000
97,192040301.025,16.629,0,1,0x00000200,1,207.0,390.5,0,0,0,0x00000000
98,192040317.468,16.443,1,1,0x00000200,1,200.8,326.5,0,0,0,0x00000000
99,192040333.930,16.461,2,1,0x00000200,1,201.7,338.3,0,0,0,0x00000000
100,192040351.582,17.652,3,1,0x00000200,1,200.0,322.8,0,0,0,0x00000000
101,192040367.877,16.296,0,1,0x00000200,1,199.3,298.6,0,0,0,0x00000000
102,192040385.508,17.631,1,1,0x00000200,1,202.4,511.9,0,0,0,0x00000000
103,192040400.793,15.285,2,1,0x00000200,1,199.5,310.5,0,0,0,0x00000000
104,192040417.539,16.746,3,1,0x00000200,1,199.3,322.8,0,0,0,0x00000000
105,192040435.333,17.793,0,1,0x00000200,1,198.3,314.6,0,0,0,0x00000000
106,192040452.283,16.950,1,1,0x00000200,1,187.5,309.8,0,0,0,0x00000000
107,192040468.072,15.790,2,1,0x00000200,1,200.3,378.7,0,0,0,0x00000000
108,192040485.436,17.364,3,1,0x00000200,1,204.1,320.8,0,0,0,0x00000000
109,192040501.395,15.959,0,1,0x00000200,1,198.5,355.4,0,0,0,0x00000000
110,192040518.221,16.826,1,1,0x00000200,1,420.3,330.1,0,0,0,0x00000000
111,192040535.336,17.115,2,1,0x00000200,1,197.8,377.4,0,0,0,0x00000000
112,192040552.096,16.760,3,1,0x00000200,1,198.1,709.6,0,0,0,0x00000000
113,192040568.242,16.146,0,1,0x00000200,1,194.5,334.2,0,0,0,0x00000000
114,192040585.316,17.074,1,1,0x00000200,1,186.5,377.2,0,0,0,0x00000000
115,192040601.426,16.110,2,1,0x00000200,1,203.8,325.9,0,0,0,0x00000000
116,192040617.505,16.078,3,1,0x00000200,1,199.3,325.0,0,0,0,0x00000000
117,192040636.315,18.810,0,1,0x00000200,1,805.2,372.1,0,0,0,0x00000000
118,192040651.728,15.413,1,1,0x00000200,1,192.4,302.1,0,0,0,0x00000000
119,192040667.856,16.128,2,1,0x00000200,1,194.6,327.9,0,0,0,0x00000000
120,192040685.141,17.285,3,1,0x00000200,1,201.5,320.9,0,0,0,0x00000000
121,192040702.530,17.389,0,0,0x00000200,0,197.6,339.5,0,0,0,0x00000000
122,192040744.695,42.165,1,0,0x00000200,0,200.4,329.0,0,0,0,0x00000000
123,192040786.173,41.477,2,0,0x00000200,0,199.2,336.8,0,0,0,0x00000000
124,192040828.477,42.304,3,0,0x00000200,0,295.5,335.7,0,0,0,0x00000000
