Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange,msFlipDelay,msUntilRenderStart,msGPUActive,msSinceInput
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,1,6.64158530000000,130.97430000000000,49.13310000000000,0,Composed: Flip,150.39800000000000,0.00000000000000,0.00000000000000,0.00000000000000,-45.00790000000000,20.88120000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,1,6.77533650000000,0.46710000000000,133.75120000000001,0,Composed: Flip,82.32350000000001,0.00000000000000,0.00000000000000,0.00000000000000,48.98920000000000,33.32800000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,1,6.79105270000000,0.10350000000000,15.71620000000000,0,Composed: Flip,99.99460000000001,0.00000000000000,0.00000000000000,0.00000000000000,66.60960000000000,33.36360000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,1,6.80790970000000,0.09160000000000,16.85700000000000,0,Composed: Flip,116.50220000000000,0.00000000000000,0.00000000000000,0.00000000000000,83.14010000000000,33.32310000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,6.82421500000000,1.56820000000000,16.30530000000000,0,Hardware Composed: Independent Flip,133.51590000000002,149.83080000000001,0.00000000000000,0.00000000000000,100.19910000000000,33.30920000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,6.84094360000000,18.04780000000000,16.72860000000000,0,Hardware Composed: Independent Flip,133.63939999999999,149.69150000000002,16.58930000000000,0.00000000000000,116.78730000000000,7.70060000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,6.87415380000000,18.44980000000000,33.21020000000000,0,Hardware Composed: Independent Flip,116.97560000000000,133.20640000000000,16.72510000000000,0.00000000000000,100.42920000000001,7.64350000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,6.90756800000000,49.94920000000000,33.41420000000000,0,Hardware Composed: Independent Flip,100.20920000000001,116.47120000000001,16.67900000000000,0.00000000000000,83.56140000000001,0.67970000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,6.97424520000000,0.09410000000000,66.67720000000000,0,Hardware Composed: Independent Flip,50.22700000000000,66.41360000000000,16.61960000000000,0.00000000000000,33.53200000000000,7.21050000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.01444170000000,0.05040000000000,40.19650000000000,0,Hardware Composed: Independent Flip,49.63270000000000,59.56350000000000,33.34640000000000,0.00000000000000,10.03050000000000,8.05340000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.05559240000000,0.05390000000000,41.15070000000000,0,Hardware Composed: Independent Flip,49.64800000000000,51.70120000000000,33.28840000000000,0.00000000000000,8.48200000000000,7.29040000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.09759340000000,0.05450000000000,42.00100000000000,0,Hardware Composed: Independent Flip,50.16910000000000,59.78780000000000,50.08760000000000,0.00000000000000,7.64700000000000,7.81270000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.13959900000000,0.05080000000000,42.00560000000000,0,Hardware Composed: Independent Flip,48.42210000000000,51.03060000000000,33.24840000000000,0.00000000000000,8.16350000000000,7.30900000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.18049860000000,0.04750000000000,40.89960000000000,0,Hardware Composed: Independent Flip,50.05980000000000,60.13560000000000,50.00460000000000,0.00000000000000,7.52250000000000,7.81030000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.22251810000000,0.06370000000000,42.01950000000000,0,Hardware Composed: Independent Flip,49.37420000000000,51.52180000000000,33.40570000000000,0.00000000000000,8.04030000000000,7.34780000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.26437290000000,0.04900000000000,41.85480000000000,0,Hardware Composed: Independent Flip,49.41390000000001,59.59830000000000,49.93130000000000,0.00000000000000,7.51940000000000,8.02570000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.30545350000000,0.05260000000000,41.08060000000000,0,Hardware Composed: Independent Flip,49.33760000000000,51.84710000000000,33.32940000000000,0.00000000000000,8.33330000000000,7.29840000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.34724790000000,0.05320000000000,41.79440000000000,0,Hardware Composed: Independent Flip,51.57190000000000,60.08620000000001,50.03350000000000,0.00000000000000,7.54320000000000,7.77720000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.39079550000000,0.06870000000000,43.54760000000000,0,Hardware Composed: Independent Flip,47.28810000000000,49.83280000000000,33.29420000000000,0.00000000000000,8.02430000000000,7.30750000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.43056580000000,0.04690000000000,39.77030000000000,0,Hardware Composed: Independent Flip,51.83660000000000,60.06280000000000,50.00030000000000,0.00000000000000,7.51780000000000,7.94080000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.47425550000000,0.11260000000000,43.68970000000000,0,Hardware Composed: Independent Flip,48.01390000000000,49.71210000000000,33.33900000000000,0.00000000000000,8.14690000000000,7.30720000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.51471300000000,0.04890000000000,40.45750000000000,0,Hardware Composed: Independent Flip,50.93180000000000,59.28620000000000,50.03160000000000,0.00000000000000,7.55640000000000,7.84660000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.55761400000000,0.05860000000000,42.90100000000000,0,Hardware Composed: Independent Flip,58.38100000000000,66.35320000000000,49.96800000000000,0.00000000000000,8.03080000000000,7.94860000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.60775610000000,0.12280000000000,50.14210000000000,0,Hardware Composed: Independent Flip,41.21830000000000,49.61760000000000,33.40650000000000,0.00000000000000,8.23890000000000,7.81690000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.64092270000000,0.05930000000000,33.16660000000000,0,Hardware Composed: Independent Flip,58.09690000000001,66.45780000000001,50.00680000000001,0.00000000000000,8.05170000000000,7.96610000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.69082080000000,0.06480000000000,49.89810000000000,0,Hardware Composed: Independent Flip,41.75190000000000,49.80830000000000,33.24860000000000,0.00000000000000,8.19880000000000,7.77870000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.72429620000000,0.23230000000000,33.47540000000000,0,Hardware Composed: Independent Flip,57.89850000000001,66.33990000000000,50.00700000000001,0.00000000000000,8.27650000000000,7.75870000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.77422170000000,0.04680000000000,49.92550000000000,0,Hardware Composed: Independent Flip,41.31680000000000,49.74640000000000,33.33200000000000,0.00000000000000,7.97300000000000,7.76070000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.80754180000000,0.05930000000000,33.32010000000000,0,Hardware Composed: Independent Flip,58.22190000000001,66.50590000000000,50.07960000000000,0.00000000000000,7.99670000000000,7.81870000000000,0.00000000000000
mpc-hc64.exe,75360,0x0000000004F78900,DXGI,1,0,0,7.85763410000000,0.12420000000000,50.09230000000000,0,Hardware Composed: Independent Flip,41.31040000000000,49.74590000000000,33.33230000000000,0.00000000000000,8.12960000000000,7.81510000000000,0.00000000000000
